name,spouse,parents,siblings,relatives,ancestors,Born,died,abilities,Bonded_with,titles,aliases,profession,groups,skills,species,residence,birthplace,religion,ethnicity,nationality,world,universe,featured_in
Haona , Abilities<->Elantrian, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Horen , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Idotris , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Kahar , Abilities<->Elantrian, Profession<->Cleaner, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Karata , Children<->Opais, Died<->Invasion of Arelon, Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Lenehe , Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,,
Loren , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Maare , Abilities<->Elantrian, Skills<->Weaving/ sewing, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Mareshe , Abilities<->Elantrian, Profession<->Craftsman, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Matisse , Parents<->Dashe, Abilities<->Elantrian, Bonded With<->Aeo, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,
Mehen , Profession<->Philosopher, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Omin , Profession<->Priest of Shu-Korath, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Raoden , Spouse<->Sarene, Parents<->Iadon/ mother, Abilities<->Elantrian, Bonded With<->Ien, Titles<->King of Elantris/ King of Arelon, Aliases<->Spirit/ Kaloo, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,
Raoshem , Descendants<->Elashe, Titles<->King of Elantris, Aliases<->Rhashm, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Riika , Abilities<->Elantrian, Bonded With<->Mai, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Riil , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Saolin , Died<->Invasion of Arelon.[1], Abilities<->Elantrian, Profession<->Soldier, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Seor , Abilities<->Elantrian, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Shaor , Parents<->Atara/ Telrii, Died<->[1], Abilities<->Elantrian, Aliases<->Soine, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Taan , Abilities<->Elantrian, Titles<->Baron of Elantris, Aliases<->Aanden, Skills<->Sculptor, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,
Taid , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Tenrao , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Teor , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Tiil , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Adien , Parents<->Kiin/ Daora, Siblings<->Lukel/ Kaise/ Daorn, Abilities<->Elantrian, Residence<->Kae, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Ahan , Spouse<->Seaden, Children<->Torena, Titles<->Count, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Atara , Spouse<->Telrii, Children<->Shaor, Titles<->Queen of Arelon, Residence<->Kae, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Daora , Spouse<->Kiin, Children<->Lukel/ Adien/ Kaise/ Daorn, Titles<->Kimess, Residence<->Kae, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Daorn , Parents<->Kiin/ Daora, Siblings<->Lukel/ Kaise/ Adien, Relatives<->Sarene/ Teorn/ Eventeo, Residence<->Kae, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Edan , Titles<->Baron of Tii Plantation (formerly), Residence<->Duladel, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Elao , Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,,
Elashe , Ancestors<->Raoshem, Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Eoldess , Spouse<->Roial, Died<->c. 10 years prior to the Reod, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Eondel , Died<->In a duel with Telrii, Titles<->Count of Eon Plantation, Profession<->Soldier (formerly), Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Eshen , Spouse<->Iadon, Relatives<->Raoden (stepson), Died<->Invasion of Arelon, Titles<->Queen of Arelon (former), Residence<->Kae, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Gatrii , Titles<->General, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Iadon , Spouse<->Raoden's mother/ Eshen, Children<->Raoden, Died<->Suicide[1], Titles<->King of Arelon, Residence<->Kae, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Idotris , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Kaise , Parents<->Kiin/ Daora, Siblings<->Lukel/ Adien/ Daorn, Relatives<->Sarene/ Teorn/ Eventeo, Born<->Year of Reod[1], Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Karata , Children<->Opais, Died<->Invasion of Arelon, Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Ketol , Residence<->Kae, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Lukel , Spouse<->Jalla, Parents<->Daora/ Kiin, Siblings<->Adien/ Kaise/ Daorn, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Mareshe , Abilities<->Elantrian, Profession<->Craftsman, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Matisse , Parents<->Dashe, Abilities<->Elantrian, Bonded With<->Aeo, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,
Meala , Profession<->Head maid, Residence<->Kae, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Omin , Profession<->Priest of Shu-Korath, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Opais , Parents<->Karata, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Ramear , Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,,
Raoden , Spouse<->Sarene, Parents<->Iadon/ mother, Abilities<->Elantrian, Bonded With<->Ien, Titles<->King of Elantris/ King of Arelon, Aliases<->Spirit/ Kaloo, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,
Raoden's mother , Spouse<->Iadon, Children<->Raoden, Died<->[1], Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Roial , Spouse<->Eoldess[1], Died<->Stabbed by one of Telrii's men[2], Bonded With<->Opa, Titles<->Duke of Ial Plantation, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Saolin , Died<->Invasion of Arelon.[1], Abilities<->Elantrian, Profession<->Soldier, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Seaden , Spouse<->Ahan, Children<->Torena, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Seala , Spouse<->Dilaf, Died<->Ten years prior to the Reod[1], Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Taan , Abilities<->Elantrian, Titles<->Baron of Elantris, Aliases<->Aanden, Skills<->Sculptor, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,
Taid , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Telrii , Spouse<->Atara, Children<->Shaor, Died<->In a duel with Eondel, Titles<->Duke/ King of Arelon, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Teor , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Tiil , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Elantrian , Abilities<->AonDor, Sapient<->Yes, World<->Sel, Universe<->Cosmere, Featured In<->Elantris/ The Stormlight Archive/ Mistborn Era 1,,,,,,,,,,,,,,,,,,
Adien , Parents<->Kiin/ Daora, Siblings<->Lukel/ Kaise/ Daorn, Abilities<->Elantrian, Residence<->Kae, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Alonoe , Abilities<->Elantrian/ Worldhopper, Groups<->Ire, World<->Sel, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Dahad , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Dashe , Children<->Matisse, Abilities<->Elantrian, Bonded With<->Ati[1], Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Dion , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Diren , Died<->Tortured by Dilaf[1], Abilities<->Elantrian, Profession<->Farmer, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Elashe , Ancestors<->Raoshem, Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Elrao , Abilities<->Elantrian/ Worldhopper, Groups<->Ire, World<->Sel, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Eonic , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Galladon , Abilities<->Elantrian/ Worldhopper, Aliases<->Dendo/ Grump, Groups<->Seventeenth Shard, Residence<->Elantris, Ethnicity<->Dula, World<->Sel, Universe<->Cosmere, Featured In<->Elantris/ The Stormlight Archive,,,,,,,,,,,,,,,
Haona , Abilities<->Elantrian, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Horen , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Idotris , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Kahar , Abilities<->Elantrian, Profession<->Cleaner, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Karata , Children<->Opais, Died<->Invasion of Arelon, Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Loren , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Maare , Abilities<->Elantrian, Skills<->Weaving/ sewing, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Mareshe , Abilities<->Elantrian, Profession<->Craftsman, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Matisse , Parents<->Dashe, Abilities<->Elantrian, Bonded With<->Aeo, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,
Raoden , Spouse<->Sarene, Parents<->Iadon/ mother, Abilities<->Elantrian, Bonded With<->Ien, Titles<->King of Elantris/ King of Arelon, Aliases<->Spirit/ Kaloo, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,
Riika , Abilities<->Elantrian, Bonded With<->Mai, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Riil , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Riina , Abilities<->Elantrian/ Worldhopper, Groups<->Ire, World<->Sel, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Riino , Abilities<->Elantrian/ Worldhopper, Aliases<->Rii Oracle, Groups<->Ire, Birthplace<->Sel, Residence<->Shadesmar, World<->Sel/ Roshar, Universe<->Cosmere, Featured In<->Elantris/ The Stormlight Archive,,,,,,,,,,,,,,,
Saolin , Died<->Invasion of Arelon.[1], Abilities<->Elantrian, Profession<->Soldier, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Seor , Abilities<->Elantrian, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Shaor , Parents<->Atara/ Telrii, Died<->[1], Abilities<->Elantrian, Aliases<->Soine, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Taan , Abilities<->Elantrian, Titles<->Baron of Elantris, Aliases<->Aanden, Skills<->Sculptor, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,
Taid , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Tenrao , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Teor , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Tiil , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->The Hope of Elantris,,,,,,,,,,,,,,,,
Ashgress , Profession<->Ambassador, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Dakhor , Related to<->Devotion/ Dominion[1][2], Focus<->Bone forms[3], Prerequisites<->Sacrifice, Type<->End-Positive[4], World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Dilaf , Spouse<->Seala, Died<->Killed by Hrathen[1], Abilities<->Dakhor, Profession<->Derethi Gragdet, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Dothgen , Profession<->Assassin, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Fjon , Profession<->Derethi Arteth, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Fjorden , Ethnicity<->Fjordell, Capital<->Widor, Region<->Sycla (Opelon), World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Hrathen , Died<->Battle of Teoras[1], Abilities<->Dakhor, Bonded With<->Hrathen's seon, Profession<->Derethi Gyorn, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Thered , Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,,
Wulfden the First , Titles<->Wyrn/ Emperor of Fjorden, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Wulfden the Fourth , Abilities<->Precognition[1], Titles<->Wyrn/ Emperor of Fjorden/ Prophet of Shu-Dereth/ Ruler of Jaddeth's Holy Kingdom/ Regent of All Creation, Residence<->Widor, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Wyrn (character) , Titles<->King of Fjorden, Nationality<->Fjordell, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Seon , Type<->Splinters of Devotion, Abilities<->Flight/ immortality/ enhanced senses/ instantaneous communication to and through other seons, Sapient<->Yes, World<->Sel, Universe<->Cosmere, Featured In<->Elantris/ The Stormlight Archive,,,,,,,,,,,,,,,,,
Aeo , Abilities<->Splinter of Devotion, Bonded With<->Matisse, Species<->Seon, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Ala , Abilities<->Splinter of Devotion, Species<->Seon, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Ashe , Abilities<->Splinter of Devotion, Bonded With<->Sarene/ Sarene's mother (formerly), Species<->Seon, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Ati (seon) , Abilities<->Splinter of Devotion, Bonded With<->Dashe, Species<->Seon, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Dio , Abilities<->Splinter of Devotion, Bonded With<->Eventeo, Species<->Seon, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Hrathen's seon , Abilities<->Splinter of Devotion, Bonded With<->Hrathen, Species<->Seon, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Ien , Abilities<->Splinter of Devotion, Bonded With<->Raoden, Species<->Seon, Residence<->Elantris, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,
Mai , Abilities<->Splinter of Devotion, Bonded With<->Riika, Species<->Seon, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Opa , Abilities<->Splinter of Devotion, Bonded With<->Roial, Species<->Seon, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Eventeo , Spouse<->Sarene's mother, Children<->Teorn/ Sarene, Siblings<->Kiin, Relatives<->Kaise/ Daorn, Bonded With<->Dio, Titles<->King of Teod, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,
Graeo , Titles<->Count, Ethnicity<->Aonic, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Kiin , Spouse<->Daora, Children<->Kaise/ Daorn/ Lukel/ Adien, Siblings<->Eventeo, Relatives<->Sarene/ Teorn, Aliases<->Dreok Crushthroat, Profession<->Pirate, Residence<->Kae, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,
Naolen , Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,,
Sarene , Spouse<->Raoden, Parents<->Eventeo/ mother, Siblings<->Teorn, Relatives<->Kaise/ Daorn/ Kiin, Bonded With<->Ashe, Titles<->Queen of Arelon/ Queen of Elantris/ Princess of Teod, Aliases<->'Ene/ Leky Stick, Religion<->Shu-Korath, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris/ The Hope of Elantris,,,,,,,,,,,
Sarene's mother , Spouse<->Eventeo, Children<->Teorn/ Sarene, Bonded With<->Ashe (formerly), Titles<->Queen of Teod, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Seinalan , Titles<->Patriarch of Shu-Korath, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Teorn , Parents<->Eventeo/ Mother, Siblings<->Sarene, Relatives<->Kaise/ Daorn/ Kiin, Titles<->Crown Prince of Teod, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Kandra , Type<->Hemalurgic construct, Sapient<->Yes, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,,,,,,,,,
First Contract , Related to<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
FhorKood , Born<->Fifth Generation, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Haddek , Abilities<->Feruchemist (formerly)[1], Titles<->First Generation, Species<->Kandra, Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
HunFoor , Born<->Second Generation, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
